Detector Type,Descriptor Type,Matching type,Sel Type,Frame_ID,Camera TTC (s),Lidar TTC(s),Difference TTC
FAST,FAST,FREAK,MAT_BF,SEL_NN,8,23.23792718,15.36522319,7.87270399
FAST,FAST,FREAK,MAT_BF,SEL_NN,9,11.33203294,12.24264888,-0.91061594
FAST,FAST,FREAK,MAT_BF,SEL_NN,10,13.13489685,13.72965491,-0.59475806
FAST,FAST,FREAK,MAT_BF,SEL_NN,11,35.60170346,10.49140265,25.11030081
FAST,FAST,FREAK,MAT_BF,SEL_NN,12,6.72313846,10.09999603,-3.37685757
FAST,FAST,FREAK,MAT_BF,SEL_NN,13,11.37687498,9.22306851,2.15380648
FAST,FAST,FREAK,MAT_BF,SEL_NN,14,10.75857278,10.96776340,-0.20919061
FAST,FAST,FREAK,MAT_BF,SEL_NN,15,6.73500169,8.09421824,-1.35921654
FAST,FAST,FREAK,MAT_BF,SEL_NN,16,11.44094283,9.16582132,2.27512151
FAST,FAST,FREAK,MAT_BF,SEL_NN,17,9.41430742,9.85140428,-0.43709686
FAST,FAST,FREAK,MAT_BF,SEL_NN,18,12.37931447,8.30977868,4.06953579
FAST,FAST,SIFT,MAT_BF,SEL_NN,1,189.57873798,12.97215890,176.60657908
FAST,FAST,SIFT,MAT_BF,SEL_NN,2,8.38984990,12.26403761,-3.87418771
FAST,FAST,SIFT,MAT_BF,SEL_NN,3,13.17629339,16.96304201,-3.78674862
FAST,FAST,SIFT,MAT_BF,SEL_NN,4,11.51548169,13.12542026,-1.60993858
FAST,FAST,SIFT,MAT_BF,SEL_NN,5,24.12073026,12.59510889,11.52562137
FAST,FAST,SIFT,MAT_BF,SEL_NN,6,10.07530089,13.86901356,-3.79371267
FAST,FAST,SIFT,MAT_BF,SEL_NN,7,10.64880030,15.15608686,-4.50728656
FAST,FAST,SIFT,MAT_BF,SEL_NN,8,11.24358503,15.36522319,-4.12163815
FAST,FAST,SIFT,MAT_BF,SEL_NN,9,13.44799475,12.24264888,1.20534588
FAST,FAST,SIFT,MAT_BF,SEL_NN,10,23.15980254,13.72965491,9.43014763
FAST,FAST,SIFT,MAT_BF,SEL_NN,11,13.05181943,10.49140265,2.56041678
FAST,FAST,SIFT,MAT_BF,SEL_NN,12,5.49193282,10.09999603,-4.60806321
FAST,FAST,SIFT,MAT_BF,SEL_NN,13,11.70628976,9.22306851,2.48322126
FAST,FAST,SIFT,MAT_BF,SEL_NN,14,11.23894127,10.96776340,0.27117787
FAST,FAST,SIFT,MAT_BF,SEL_NN,15,6.84313562,8.09421824,-1.25108261
FAST,FAST,SIFT,MAT_BF,SEL_NN,16,12.10861809,9.16582132,2.94279677
FAST,FAST,SIFT,MAT_BF,SEL_NN,17,12.37931447,9.85140428,2.52791018
FAST,FAST,SIFT,MAT_BF,SEL_NN,18,12.87951698,8.30977868,4.56973830
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,1,13.81797140,12.97215890,0.84581249
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,2,17.12356939,12.26403761,4.85953178
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,3,13.98834707,16.96304201,-2.97469494
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,4,17.98127867,13.12542026,4.85585840
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,5,20.68820015,12.59510889,8.09309126
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,6,15.20350376,13.86901356,1.33449020
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,7,17.89838727,15.15608686,2.74230041
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,8,18.97933725,15.36522319,3.61411406
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,9,13.96421388,12.24264888,1.72156500
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,10,11.67505561,13.72965491,-2.05459930
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,11,12.10552498,10.49140265,1.61412234
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,12,12.74690873,10.09999603,2.64691270
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,13,11.36518690,9.22306851,2.14211840
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,14,11.26908771,10.96776340,0.30132431
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,15,10.73889770,8.09421824,2.64467946
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,16,11.85813642,9.16582132,2.69231509
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,17,10.34870234,9.85140428,0.49729806
BRISK,BRISK,BRIEF,MAT_BF,SEL_NN,18,10.96353887,8.30977868,2.65376019
